country,year,gdp_growth,growth_change,gdp_rolling_avg,cumulative_growth,growth_category
ABW,2003,1.110505,,1.110505,1.110505,Low Growth
ABW,2006,1.127411,0.016905999999999866,1.1189580000000001,2.2379160000000002,Low Growth
ABW,2009,-11.677741,-12.805152,-3.146608333333333,-9.439824999999999,Negative Growth
ABW,2020,-23.89799,-12.220249,-11.482773333333332,-33.337815,Negative Growth
AFE,1994,1.919654,,1.919654,1.919654,Low Growth
AFE,2000,3.181375,1.261721,2.5505145000000002,5.1010290000000005,Moderate Growth
AFE,2001,3.503533,0.32215799999999994,2.868187333333333,8.604562,Moderate Growth
AFE,2002,3.917113,0.41358000000000006,3.5340070000000003,12.521675,Moderate Growth
AFE,2005,6.173659,2.2565459999999997,4.531434999999999,18.695334,High Growth
AFE,2006,6.637497,0.463838,5.576089666666667,25.332831,High Growth
AFE,2007,6.700033,0.06253600000000059,6.5037296666666675,32.032864000000004,High Growth
AFE,2008,4.437529,-2.2625040000000007,5.925019666666667,36.470393,Moderate Growth
AFE,2009,0.919473,-3.5180559999999996,4.019011666666667,37.389866,Low Growth
AFE,2012,1.897173,0.9777,2.418058333333333,39.287039,Low Growth
AFE,2013,4.356682,2.459509,2.391109333333333,43.643721,Moderate Growth
AFW,1994,-0.228793,,-0.228793,-0.228793,Negative Growth
AFW,2000,3.812161,4.040954,1.791684,3.583368,Moderate Growth
AFW,2001,5.248683,1.4365219999999996,2.944017,8.832051,Moderate Growth
AFW,2002,9.943307,4.694624000000001,6.334717,18.775358,High Growth
AFW,2005,5.797434,-4.145873000000001,6.996474666666667,24.572792,Moderate Growth
AFW,2006,5.287171,-0.5102630000000001,7.009304,29.859963,Moderate Growth
AFW,2008,6.210812,0.9236409999999999,5.7651390000000005,36.070775,High Growth
AFW,2009,6.141191,-0.06962099999999971,5.879724666666667,42.211966000000004,High Growth
AFW,2012,5.129703,-1.011488,5.827235333333333,47.341669,Moderate Growth
AFW,2013,6.046692,0.916989,5.772528666666666,53.388361,High Growth
AFW,2014,5.691551,-0.3551410000000006,5.622648666666667,59.079912,Moderate Growth
AGO,2003,3.487312,,3.487312,3.487312,Moderate Growth
AGO,2006,11.841818,8.354506,7.664565,15.32913,High Growth
AGO,2009,1.995589,-9.846229,5.774906333333333,17.324718999999998,Low Growth
ALB,2009,2.690752,,2.690752,2.690752,Moderate Growth
AND,2003,8.694204,,8.694204,8.694204,High Growth
AND,2006,4.808689,-3.885514999999999,6.7514465,13.502893,Moderate Growth
AND,2009,-5.302847,-10.111536000000001,2.7333486666666666,8.200046,Negative Growth
ARB,1994,3.355358,,3.355358,3.355358,Moderate Growth
ARB,2000,6.336729,2.981371,4.8460435,9.692087,High Growth
ARB,2001,2.097407,-4.239322,3.929831333333333,11.789494,Moderate Growth
ARB,2002,1.220748,-0.8766590000000001,3.2182946666666665,13.010242,Low Growth
ARB,2005,5.572955,4.352207,2.9637033333333336,18.583197,Moderate Growth
ARB,2006,6.276297,0.7033419999999992,4.3566666666666665,24.859493999999998,High Growth
ARB,2008,5.57116,-0.7051369999999997,5.806804,30.430654,Moderate Growth
ARB,2009,0.648247,-4.922912999999999,4.165234666666666,31.078901,Low Growth
ARB,2012,5.493754,4.845507,3.904387,36.572655,Moderate Growth
ARB,2013,2.647321,-2.846433,2.929774,39.219976,Moderate Growth
ARB,2014,2.659752,0.012431000000000303,3.600275666666667,41.879728,Moderate Growth
ARE,2011,6.736468,,6.736468,6.736468,High Growth
ARE,2012,4.683266,-2.0532020000000006,5.709867,11.419734,Moderate Growth
ARE,2014,4.632881,-0.05038499999999946,5.3508716666666665,16.052615,Moderate Growth
ARE,2017,-1.061377,-5.6942580000000005,2.75159,14.991238000000001,Negative Growth
ARE,2018,1.537167,2.598544,1.7028903333333334,16.528405,Low Growth
ARE,2019,1.271342,-0.265825,0.5823773333333333,17.799747,Low Growth
ARG,2003,8.837041,,8.837041,8.837041,High Growth
ARG,2006,8.047152,-0.7898889999999987,8.4420965,16.884193,High Growth
ARG,2009,-5.918525,-13.965677,3.655222666666667,10.965668,Negative Growth
ARM,2003,14.0,,14.0,14.0,High Growth
ARM,2006,13.2,-0.8000000000000007,13.6,27.2,High Growth
ARM,2009,-14.1,-27.299999999999997,4.366666666666666,13.1,Negative Growth
ARM,2020,-7.2,6.8999999999999995,-2.7000000000000006,5.8999999999999995,Negative Growth
ASM,2003,0.965517,,0.965517,0.965517,Low Growth
ASM,2006,-4.098361,-5.063878,-1.5664219999999998,-3.1328439999999995,Negative Growth
ASM,2009,-4.166667,-0.06830600000000064,-2.4331703333333334,-7.299511,Negative Growth
ATG,2003,6.076637,,6.076637,6.076637,High Growth
ATG,2006,12.708147,6.6315100000000005,9.392392000000001,18.784784000000002,High Growth
ATG,2009,-11.962879,-24.671025999999998,2.273968333333334,6.821905000000001,Negative Growth
AUS,2003,3.09128,,3.09128,3.09128,Moderate Growth
AUS,2006,2.770926,-0.320354,2.931103,5.862206,Moderate Growth
AUS,2009,1.954848,-0.8160779999999999,2.6056846666666664,7.817054,Low Growth
AUS,2020,-0.133532,-2.08838,1.530747333333333,7.683521999999999,Negative Growth
AUT,2003,1.141565,,1.141565,1.141565,Low Growth
AUT,2006,3.269336,2.127771,2.2054505,4.410901,Moderate Growth
AUT,2009,-3.586265,-6.855601,0.27487866666666666,0.8246359999999999,Negative Growth
AUT,2011,2.927468,6.513733,0.8701796666666667,3.752104,Moderate Growth
AUT,2020,-6.318255,-9.245723,-2.325684,-2.5661509999999996,Negative Growth
AZE,2003,10.208299,,10.208299,10.208299,High Growth
AZE,2006,34.46621,24.257910999999996,22.3372545,44.674509,High Growth
AZE,2009,9.369503,-25.096706999999995,18.014670666666664,54.044011999999995,High Growth
AZE,2011,-1.572997,-10.942499999999999,14.087572,52.471014999999994,Negative Growth
AZE,2020,-4.198961,-2.6259639999999997,1.1991816666666644,48.272054,Negative Growth
BDI,2003,-1.223728,,-1.223728,-1.223728,Negative Growth
BDI,2009,3.787076,5.010804,1.281674,2.563348,Moderate Growth
BDI,2010,5.093737,1.306661,2.5523616666666666,7.657085,Moderate Growth
BDI,2012,4.423031,-0.670706,4.434614666666666,12.080116,Moderate Growth
BDI,2018,5.342245,0.9192140000000002,4.953004333333333,17.422361,Moderate Growth
BDI,2020,0.306444,-5.035801,3.3572399999999996,17.728805,Low Growth
BEL,2001,1.099604,,1.099604,1.099604,Low Growth
BEL,2006,2.552341,1.4527370000000002,1.8259725000000002,3.6519450000000004,Moderate Growth
BEL,2011,1.931155,-0.6211860000000002,1.8610333333333333,5.5831,Low Growth
BEL,2020,-4.792984,-6.724138999999999,-0.10316266666666636,0.7901160000000012,Negative Growth
BEN,2001,5.333136,,5.333136,5.333136,Moderate Growth
BEN,2006,3.943739,-1.3893969999999998,4.6384375,9.276875,Moderate Growth
BEN,2011,2.963753,-0.9799859999999998,4.080209333333333,12.240628,Moderate Growth
BFA,2003,7.802494,,7.802494,7.802494,High Growth
BFA,2009,2.961951,-4.840543,5.3822225,10.764445,Moderate Growth
BFA,2010,8.446282,5.484331,6.403575666666666,19.210727,High Growth
BFA,2012,6.452672,-1.9936100000000003,5.953635000000001,25.663399,High Growth
BFA,2018,6.604569,0.15189699999999995,7.167841,32.267967999999996,High Growth
BGD,2001,5.077288,,5.077288,5.077288,Moderate Growth
BGD,2003,4.739567,-0.33772100000000016,4.9084275,9.816855,Moderate Growth
BGD,2006,6.671905,1.9323379999999997,5.496253333333333,16.48876,High Growth
BGD,2011,6.464379,-0.20752599999999966,5.958617,22.953139,High Growth
BGD,2020,3.448018,-3.0163610000000003,5.528100666666667,26.401157,Moderate Growth
BGR,2009,-3.347141,,-3.347141,-3.347141,Negative Growth
BGR,2010,1.55536,4.902501,-0.8958905,-1.791781,Low Growth
BGR,2012,0.748815,-0.8065450000000001,-0.34765533333333337,-1.042966,Low Growth
BGR,2018,2.330152,1.581337,1.5447756666666665,1.287186,Moderate Growth
BHR,2003,6.296441,,6.296441,6.296441,High Growth
BHR,2006,6.467,0.1705589999999999,6.3817205,12.763441,High Growth
BHR,2011,1.928158,-4.538842,4.897199666666666,14.691599,Low Growth
BHR,2020,-5.911363,-7.8395209999999995,0.8279316666666666,8.780235999999999,Negative Growth
BHS,2003,-1.264917,,-1.264917,-1.264917,Negative Growth
BHS,2006,2.516592,3.7815090000000002,0.6258375,1.251675,Moderate Growth
BHS,2009,-4.175428,-6.69202,-0.9745843333333334,-2.923753,Negative Growth
BHS,2011,0.613171,4.7885990000000005,-0.348555,-2.310582,Low Growth
BHS,2020,-20.089366,-20.702537,-7.883874333333332,-22.399948,Negative Growth
BIH,2001,2.423313,,2.423313,2.423313,Moderate Growth
BIH,2006,5.414003,2.9906900000000003,3.9186579999999998,7.8373159999999995,Moderate Growth
BIH,2010,0.865667,-4.548336,2.9009943333333332,8.702983,Low Growth
BLR,2001,4.725306,,4.725306,4.725306,Moderate Growth
BLR,2006,9.999995,5.274689,7.3626505,14.725301,High Growth
BLR,2011,5.549975,-4.45002,6.758425333333332,20.275275999999998,Moderate Growth
BLR,2020,-0.672743,-6.2227179999999995,4.959075666666666,19.602533,Negative Growth
BLZ,2001,4.993562,,4.993562,4.993562,Moderate Growth
BLZ,2006,4.511455,-0.48210700000000006,4.752508499999999,9.505016999999999,Moderate Growth
BLZ,2011,-0.130071,-4.641526,3.1249819999999997,9.374946,Negative Growth
BLZ,2020,-13.5229,-13.392829,-3.0471719999999998,-4.147954,Negative Growth
BMU,2001,7.222436,,7.222436,7.222436,High Growth
BMU,2006,5.543866,-1.6785699999999997,6.383151,12.766302,Moderate Growth
BMU,2010,-2.502878,-8.046744,3.4211413333333334,10.263424,Negative Growth
BMU,2011,-3.742744,-1.2398660000000001,-0.23391866666666652,6.5206800000000005,Negative Growth
BOL,2001,1.683799,,1.683799,1.683799,Low Growth
BOL,2006,4.797009,3.11321,3.240404,6.480808,Moderate Growth
BOL,2010,4.126723,-0.6702859999999999,3.535843666666667,10.607531000000002,Moderate Growth
BRA,2001,1.389896,,1.389896,1.389896,Low Growth
BRA,2006,3.961989,2.5720929999999997,2.6759425,5.351885,Moderate Growth
BRA,2009,-0.125812,-4.087801,1.7420243333333334,5.226073,Negative Growth
BRA,2010,7.528226,7.654038,3.7881343333333333,12.754299,High Growth
BRA,2012,1.921176,-5.60705,3.107863333333333,14.675475,Low Growth
BRA,2018,1.783667,-0.1375090000000001,3.7443563333333336,16.459142,Low Growth
BRB,2001,-2.365465,,-2.365465,-2.365465,Negative Growth
BRB,2003,2.175481,4.540946,-0.09499199999999997,-0.18998399999999993,Moderate Growth
BRB,2006,6.070546,3.895065,1.9601873333333335,5.880562,High Growth
BRB,2011,-0.31032,-6.380866,2.6452356666666668,5.570242,Negative Growth
BRB,2020,-14.364712,-14.054392,-2.8681620000000003,-8.79447,Negative Growth
BRN,2009,-1.900254,,-1.900254,-1.900254,Negative Growth
BRN,2010,2.741364,4.641618,0.4205549999999999,0.8411099999999998,Moderate Growth
BRN,2012,0.913135,-1.8282289999999999,0.5847483333333333,1.7542449999999998,Low Growth
BRN,2018,0.052371,-0.8607640000000001,1.2356233333333333,1.8066159999999998,Low Growth
BTN,2001,7.328374,,7.328374,7.328374,High Growth
BTN,2006,5.640805,-1.6875689999999999,6.4845895,12.969179,Moderate Growth
BTN,2010,11.931874,6.291069,8.300351000000001,24.901053,High Growth
